media,region,contact_name,contact_email,template,sent_at,reply_at,outcome,url_obtained,dr,notes
Le Parisien,Île-de-France,,redaction@leparisien.fr,A,,,pending,,86,Rubrique Habitat — chercher journaliste habitat sur LinkedIn
20 Minutes Paris,Île-de-France,,,A,,,pending,,88,Section locale Paris — angle aides MPR IDF Éco-rénovons
Le Progrès,Auvergne-Rhône-Alpes,,internet@leprogres.fr,A,,,pending,,78,Édition Lyon/Saint-Étienne/Grenoble — angle zone H1c CEE
Le Dauphiné Libéré,Auvergne-Rhône-Alpes,,,B,,,pending,,79,Édition Isère/Savoie/Haute-Savoie — angle bois-énergie montagne
La Provence,Provence-Alpes-Côte d'Azur,,,A,,,pending,,73,Rubrique économie/habitat — angle zone H3 méditerranéenne
Nice-Matin,Provence-Alpes-Côte d'Azur,,,B,,,pending,,74,Local Nice/Cannes/Antibes — angle PAC réversible Côte
La Dépêche du Midi,Occitanie,,,A,,,pending,,75,Local Toulouse + Sud-Ouest — angle aides régionales Occitanie
Midi Libre,Occitanie,,,B,,,pending,,73,Local Montpellier/Nîmes/Béziers — angle interdiction G 2025
Sud-Ouest,Nouvelle-Aquitaine,,,A,,,pending,,80,Bordeaux/La Rochelle/Bayonne — angle carte RGE NA H2c
La Charente Libre,Nouvelle-Aquitaine,,,B,,,pending,,51,Angoulême — angle coût Mon Accompagnateur Rénov
La Voix du Nord,Hauts-de-France,,,A,,,pending,,78,Lille/Roubaix/Tourcoing — angle zone H1a CEE max
Le Courrier Picard,Hauts-de-France,,,B,,,pending,,56,Amiens/Beauvais — angle moyenne 700€ MPR
L'Est Républicain,Grand Est,,,A,,,pending,,73,Lorraine/Bourgogne — angle zone H1b/H1c CEE chauffage
DNA,Grand Est,,,A,,,pending,,70,Strasbourg/Colmar/Mulhouse — angle Climaxion généreux
Ouest-France PdL,Pays de la Loire,,,A,,,pending,,84,Édition Pays de la Loire — angle carte RGE forfaits CEE
Le Courrier de l'Ouest,Pays de la Loire,,,B,,,pending,,56,Angers/Cholet — angle 49% pré-1975 isolation
Ouest-France Bretagne,Bretagne,,,A,,,pending,,84,Édition Bretagne — angle zone H2a océanique PAC air-eau
Le Télégramme,Bretagne,,,A,,,pending,,73,Brest/Quimper/Lorient — angle aides régionales Bretagne
Ouest-France Normandie,Normandie,,,A,,,pending,,84,Édition Normandie — angle bois-énergie soutenu Région
Paris-Normandie,Normandie,,,B,,,pending,,65,Rouen/Le Havre — angle carte RGE PAC isolation
Le Bien Public,Bourgogne-Franche-Comté,,,A,,,pending,,53,Dijon — angle Effilogis BBC
L'Est Républicain BFC,Bourgogne-Franche-Comté,,,B,,,pending,,73,Édition Doubs/Jura — angle zone H1c forfaits chauffage
La Nouvelle République,Centre-Val de Loire,,,A,,,pending,,67,Tours/Poitiers/Châteauroux — angle annuaire RGE
L'Écho Républicain,Centre-Val de Loire,,,B,,,pending,,47,Chartres — angle 12 ans amortissement BBC
Corse-Matin,Corse,,,A,,,pending,,67,Angle aide Collectivité Corse Énergie + zone H3
