region,medium_name,type,contact_email,journalist_role,domain,DR_estimate,pitch_angle,sent_date,response_date,status,backlink_url,notes
national,La Tribune,national_eco,redaction@latribune.fr,Rédaction Immobilier/Construction,latribune.fr,75,"Indice Rénovation 2026 — 17 M logements estimés DPE F/G (ADEME) et progression MaPrimeRénov' 2025 (ANAH) : premier baromètre public CC-BY 4.0 croisant ces sources avec le Registre RGE data.gouv. Angle : transparence marché aides + supply RGE.",,,pending,,
national,Les Échos Patrimoine,national_vertical,patrimoine@lesechos.fr,Rédaction Patrimoine / Immobilier,lesechos.fr,85,"Investisseurs et propriétaires : nouvel indice public agrégeant DPE F/G (ADEME), volumes MaPrimeRénov' 2025 (ANAH) et densité RGE (data.gouv). Données embarquables sous licence CC-BY 4.0 — utile pour analyses patrimoniales et valeur verte.",,,pending,,
btp,Le Moniteur,btp_pro,redaction@lemoniteur.fr,Rédaction Énergie / Rénovation,lemoniteur.fr,70,"Indice Rénovation 2026 : baromètre public croisant Registre RGE (data.gouv), barèmes MaPrimeRénov' (ANAH) et Observatoire DPE (ADEME). Granularité régionale, licence CC-BY 4.0. Angle BTP : densité entreprises RGE actives par région.",,,pending,,
btp,Batiactu,btp_pro,redaction@batiactu.com,Rédaction Énergie / Rénovation,batiactu.com,65,"Premier indice public CC-BY 4.0 sur la rénovation énergétique : croisement DPE F/G (ADEME), MaPrimeRénov' distribuées 2025 (ANAH), entreprises RGE actives (data.gouv). Embed gratuit, données vérifiables uniquement sources officielles.",,,pending,,
immo,PAP.fr,immobilier_grand_public,contact@pap.fr,Rédaction Immobilier,pap.fr,70,"Pour acheteurs et vendeurs : indice public croisant passoires thermiques estimées (ADEME) et aides MaPrimeRénov' 2025 (ANAH). Utile pour articles valeur verte, DPE à la vente, calendrier interdiction location.",,,pending,,
patrimoine,Le Particulier (Le Figaro),patrimoine_grand_public,contact@leparticulier.fr,Rédaction Patrimoine,leparticulier.lefigaro.fr,78,"Indice Rénovation 2026 : agrège sources publiques ADEME / ANAH / data.gouv RGE. Permet aux particuliers de situer leur région (densité RGE, volumes MPR). Données embarquables CC-BY 4.0.",,,pending,,
conso_eco,Capital,consumer_eco,redaction@capital.fr,Rédaction Immobilier / Aides,capital.fr,74,"Baromètre public Rénovation 2026 : volumes MaPrimeRénov' 2025 par région (ANAH), passoires estimées (ADEME), maillage RGE actif (data.gouv). Embed CC-BY 4.0 pour dossiers aides rénovation.",,,pending,,
pqr_ouest,Ouest-France,pqr_regional,redaction@ouest-france.fr,Rédaction Économie régionale,ouest-france.fr,82,"Données régionales Bretagne / Pays de la Loire / Normandie : densité RGE actifs (data.gouv) et MaPrimeRénov' distribuées (ANAH). Embed CC-BY 4.0 pour articles locaux passoires thermiques.",,,pending,,
pqr_aquitaine,Sud Ouest,pqr_regional,redaction@sudouest.fr,Rédaction Économie régionale,sudouest.fr,76,"Focus Nouvelle-Aquitaine / Occitanie ouest : indice public croisant ADEME (DPE F/G), ANAH (MPR 2025) et RGE actifs data.gouv. Données embarquables localement.",,,pending,,
pqr_hdf,La Voix du Nord,pqr_regional,redaction@lavoixdunord.fr,Rédaction Économie régionale,lavoixdunord.fr,72,"Hauts-de-France : un des parcs de logements les plus anciens, fort enjeu rénovation. Indice public CC-BY 4.0 sur passoires estimées (ADEME), MPR 2025 (ANAH), entreprises RGE actives (data.gouv).",,,pending,,
pqr_occitanie,La Dépêche du Midi,pqr_regional,redaction@ladepeche.fr,Rédaction Économie régionale,ladepeche.fr,70,"Occitanie : focus régional sur volumes MaPrimeRénov' 2025 (ANAH) et maillage RGE (data.gouv). Embed CC-BY 4.0, sources officielles uniquement.",,,pending,,
radio_regional,France Bleu,radio_pqr,redaction@francebleu.fr,Rédaction Économie / Régions,francebleu.fr,80,"Indice Rénovation 2026 : ressource publique CC-BY 4.0 pour antennes régionales. Croisement ADEME (passoires) / ANAH (MPR) / data.gouv (RGE actifs) avec déclinaison par région.",,,pending,,
