rank,attackBatch,cluster,competitor,keywordsPaid,intentHint,competitorUrl,saRouteRecommendation,saH1Recommendation,reason
1,1,aides-cee,effy,507,landing_page,https://www.effy.fr/lp/generique/aides/prime-cee,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
2,1,aides-cee,effy,483,aide,https://www.effy.fr/guide/aides-renovation,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
3,2,isolation,effy,425,landing_page,https://www.effy.fr/lp/isolation/isolation-des-murs/isolation-exterieure/aides-newform,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
4,3,climatisation,effy,393,funnel_devis,https://www.effy.fr/parcours/1/travaux-aides/logement-type?theme=clim&climatisation,/lp/climatisation-aides,Installer une climatisation réversible en 2026 : aides + artisans RGE,cluster climatisation → batch 3
5,1,simulateur,effy,243,funnel_devis,https://www.effy.fr/parcours/1/travaux-aides,/simulateur-aides-renovation,Simulateur aides rénovation 2026 — 3 minutes,cluster simulateur → batch 1
6,3,pompe-a-chaleur,engiehs,206,travaux,https://www.engie-homeservices.fr/particulier/landing/installation-pompe-a-chaleur-air-eau,/lp/pompe-a-chaleur-aides,Installer une pompe à chaleur en 2026 — jusqu'à 5 000 € d'aides,cluster pompe-a-chaleur → batch 3
7,3,chauffage,engiehs,176,travaux,https://www.engie-homeservices.fr/particulier/landing/installation-chaudiere-gaz,/lp/chaudiere-aides-renovation,Changer sa chaudière en 2026 : aides + artisans RGE,cluster chauffage → batch 3
8,1,aides-cee,effy,172,aide,https://www.effy.fr/prime-effy-lp,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
9,2,isolation,effy,129,landing_page,https://www.effy.fr/lp/isolation/isolation-des-combles/1-euro-newform,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
10,2,isolation,effy,108,travaux,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/moisissure-mur,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
11,1,aides-cee,effy,58,aide,https://www.effy.fr/nos-offres/prime-effy,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
12,3,pompe-a-chaleur,effy,44,landing_page,https://www.effy.fr/lp/chauffage/pab-pag-newform,/lp/pompe-a-chaleur-aides,Installer une pompe à chaleur en 2026 — jusqu'à 5 000 € d'aides,cluster pompe-a-chaleur → batch 3
13,3,pompe-a-chaleur,engiehs,39,travaux,https://www.engie-homeservices.fr/particulier/installation/pompe-a-chaleur-air-eau,/lp/pompe-a-chaleur-aides,Installer une pompe à chaleur en 2026 — jusqu'à 5 000 € d'aides,cluster pompe-a-chaleur → batch 3
14,3,adoucisseur-eau,engiehs,37,travaux,https://www.engie-homeservices.fr/particulier/installation/adoucisseur-d-eau,/lp/adoucisseur-eau,Installer un adoucisseur d'eau en 2026 — devis artisans certifiés,cluster adoucisseur-eau → batch 3
15,3,fenetres,effy,33,landing_page,https://www.effy.fr/lp/isolation/fenetres-newform,/lp/fenetres-double-vitrage-prime,Fenêtres double-vitrage : prime CEE BAR-EN-104 en 2026,cluster fenetres → batch 3
16,1,simulateur,effy,30,funnel_devis,http://effy.fr/parcours/1/travaux-aides/,/simulateur-aides-renovation,Simulateur aides rénovation 2026 — 3 minutes,cluster simulateur → batch 1
17,1,aides-cee,effy,29,aide,https://www.effy.fr/aide-energetique/ma-prime-renov/bareme,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
18,3,pompe-a-chaleur,effy,27,landing_page,https://www.effy.fr/lp/chauffage/pompe-a-chaleur/pompe-a-chaleur-air-eau-newform,/lp/pompe-a-chaleur-aides,Installer une pompe à chaleur en 2026 — jusqu'à 5 000 € d'aides,cluster pompe-a-chaleur → batch 3
19,2,isolation,effy,24,travaux,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/par-l-exterieur/faire-isolation-exterieure-soi-meme,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
20,1,aides-cee,effy,22,aide,https://www.effy.fr/aide-energetique/eco-ptz,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
21,2,isolation,effy,21,travaux,https://www.effy.fr/travaux-energetique/isolation/isolation-murs/par-l-interieur/sans-perdre-de-place,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
22,3,poele,effy,19,aide,https://www.effy.fr/aide-energetique/ma-prime-renov/poele-a-granules,/lp/poele-a-granules-aides,Poêle à granulés : 2 500 € d'aides en 2026 (CEE + MaPrimeRénov'),cluster poele → batch 3
23,3,chauffe-eau,effy,18,landing_page,https://www.effy.fr/lp/chauffage/chauffe-eau-thermodynamique-newform,/lp/chauffe-eau-thermodynamique-prime-cee,Chauffe-eau thermodynamique : 1 200 € de prime CEE en 2026,cluster chauffe-eau → batch 3
24,3,climatisation,effy,16,landing_page,https://www.effy.fr/lp/chauffage/clim-newform,/lp/climatisation-aides,Installer une climatisation réversible en 2026 : aides + artisans RGE,cluster climatisation → batch 3
25,2,isolation,effy,14,travaux,https://www.effy.fr/travaux-energetique/isolation/isolation-phonique,/lp/isolation-thermique-aides,Isolation thermique : jusqu'à 75 € / m² d'aides en 2026,cluster isolation → batch 2
26,3,pompe-a-chaleur,effy,13,travaux,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/pac-air-air-ou-climatisation,/lp/pompe-a-chaleur-aides,Installer une pompe à chaleur en 2026 — jusqu'à 5 000 € d'aides,cluster pompe-a-chaleur → batch 3
27,3,chauffe-eau,effy,13,travaux,https://www.effy.fr/travaux-energetique/chauffe-eau/capacite,/lp/chauffe-eau-thermodynamique-prime-cee,Chauffe-eau thermodynamique : 1 200 € de prime CEE en 2026,cluster chauffe-eau → batch 3
28,3,fenetres,effy,12,aide,https://www.effy.fr/aide-energetique/volets-roulants,/lp/fenetres-double-vitrage-prime,Fenêtres double-vitrage : prime CEE BAR-EN-104 en 2026,cluster fenetres → batch 3
29,1,aides-cee,effy,11,aide,https://www.effy.fr/aide-energetique/anah,/lp/aides-renovation-2026,Toutes les aides à la rénovation énergétique en 2026,cluster aides-cee → batch 1
30,3,poele,effy,11,landing_page,https://www.effy.fr/lp/chauffage/insert-cheminee-newform,/lp/poele-a-granules-aides,Poêle à granulés : 2 500 € d'aides en 2026 (CEE + MaPrimeRénov'),cluster poele → batch 3
