keyword,volume,kd,competitor,best_position,traffic,cpc,best_url,intent_transactional,intent_commercial,segment_match
plafond cheque energie,2600,31,hellio,1,2423,2,https://particulier.hellio.com/blog/financement/plafond-cheque-energie,False,False,yes
robinet thermostatique,8600,0,hellio,1,1845,12,https://copropriete.hellio.com/blog/conseils/robinet-thermostatique,False,True,yes
chèque énergie 2025 date de versement,18000,6,hellio,5,1389,15,https://particulier.hellio.com/blog/financement/date-cheque-energie,False,False,yes
ma prime renov,57000,67,hellio,10,1236,136,https://particulier.hellio.com/blog/financement/ma-prime-renov,False,False,yes
seche linge pompe a chaleur,17000,1,hellio,2,709,21,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation,False,True,yes
panneau solaire plug and play,14000,8,hellio,9,664,52,https://particulier.hellio.com/guide-solaire/types/panneau-plug-and-play,False,True,yes
h1 h2 h3,900,4,hellio,1,548,1180,https://faq.hellio.com/definition-zone-climatique-cee,False,False,yes
hellio,1000,0,hellio,1,538,106,https://www.hellio.com/,False,False,no
dpe e location,1400,1,hellio,1,505,2,https://faq.hellio.com/location-logement-classe-e-dpe,False,False,yes
helio,1000,1,hellio,1,479,105,https://www.hellio.com/,False,False,no
ombrière photovoltaique,1400,2,hellio,1,446,110,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-voiture/ombriere-photovoltaique,False,False,yes
bail social,1700,11,hellio,1,435,11,https://logementsocial.hellio.com/blog/actualites/bail-social,False,False,no
ma prime renov 2026,12000,69,hellio,9,429,127,https://particulier.hellio.com/blog/financement/maprimerenov-2026,False,False,yes
prise renforcée,3800,0,hellio,5,414,20,https://particulier.hellio.com/blog/conseils/prise-renforcee-voiture-electrique,False,True,yes
seche linge condensation,15000,0,hellio,7,389,16,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation,False,True,yes
ma prime renov 2024,6300,77,hellio,6,384,127,https://particulier.hellio.com/blog/financement/maprimerenov-2024,False,False,yes
relamping,1600,0,hellio,1,372,40,https://copropriete.hellio.com/blog/renovation-energetique/relamping,False,False,yes
dpe f location,900,4,hellio,1,357,1,https://copropriete.hellio.com/blog/actualites/interdiction-location-dpe-f-g,False,False,yes
location dpe f,800,3,hellio,1,317,1,https://copropriete.hellio.com/blog/actualites/interdiction-location-dpe-f-g,False,False,yes
loi aper,4200,5,hellio,5,316,8,https://www.hellio.com/actualites/reglementation/loi-aper,False,False,no
aide panneau solaire,3700,13,hellio,4,309,43,https://particulier.hellio.com/guide-solaire/aides/prix-panneau-solaire/gratuit,False,False,yes
ma prime rénov 2025,4100,49,hellio,5,305,149,https://particulier.hellio.com/blog/financement/maprimerenov-2025,False,False,yes
dpe obligatoire,4800,39,hellio,5,286,35,https://particulier.hellio.com/blog/conseils/dpe-obligatoire,False,False,yes
chèque énergie 2025 date,14000,6,hellio,11,278,13,https://particulier.hellio.com/blog/financement/date-cheque-energie,False,False,yes
location dpe e,700,1,hellio,1,270,1,https://faq.hellio.com/location-logement-classe-e-dpe,False,False,yes
cache pompe à chaleur,3000,15,hellio,6,256,19,https://particulier.hellio.com/blog/conseils/cache-pompe-chaleur,True,True,yes
plan pluriannuel de travaux,2000,4,hellio,4,249,27,https://copropriete.hellio.com/blog/renovation-energetique/plan-pluriannel-travaux,False,False,yes
tantième,1700,0,hellio,3,232,3,https://copropriete.hellio.com/blog/vie-copro/tantiemes,False,False,no
