competitor,dr,url,traffic,position,top_keyword,volume,keywords_on_page,value_usd,segment_match
hellio,73.0,https://particulier.hellio.com/blog/financement/plafond-cheque-energie,2636,1,plafond cheque energie,2600,93,5075,yes
hellio,73.0,https://copropriete.hellio.com/blog/conseils/robinet-thermostatique,2219,1,robinet thermostatique,8600,56,26417,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation,2071,9,seche linge pompe a chaleur,17000,174,33611,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/date-cheque-energie,1983,5,chèque énergie 2025 date de versement,18000,75,26603,yes
hellio,73.0,https://faq.hellio.com/location-logement-classe-e-dpe,1791,1,dpe e location,1400,105,10676,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/ma-prime-renov,1594,10,ma prime renov,57000,29,210542,yes
hellio,73.0,https://copropriete.hellio.com/blog/actualites/interdiction-location-dpe-f-g,1436,1,dpe f location,900,117,4620,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/horaires-travaux,1143,2,horaires travaux copropriété,700,226,1018,no
hellio,73.0,https://www.hellio.com/,1099,1,hellio,1000,10,124496,no
hellio,73.0,https://particulier.hellio.com/guide-solaire/types/panneau-plug-and-play,1009,9,panneau solaire plug and play,14000,39,51346,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/prix-ravalement-facade,989,1,prix ravalement façade maison 100m2,600,125,76402,yes
hellio,73.0,https://copropriete.hellio.com/blog/actualites/dates-chauffage-collectif,963,3,chauffage collectif date,1500,108,12996,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/qui-a-droit-cheque-energie,947,6,qui a droit au cheque energie,1300,192,13605,yes
hellio,73.0,https://faq.hellio.com/location-logement-classe-f-dpe,902,4,dpe f,1500,78,5067,yes
hellio,73.0,https://particulier.hellio.com/guide-solaire/utilisation/panneau-solaire-voiture/ombriere-photovoltaique,849,1,ombrière photovoltaique,1400,36,87376,yes
hellio,73.0,https://particulier.hellio.com/blog/conseils/prise-renforcee-voiture-electrique,791,5,prise renforcée,3800,32,22781,yes
hellio,73.0,https://faq.hellio.com/definition-zone-climatique-cee,749,1,h1 h2 h3,900,26,647734,yes
hellio,73.0,https://particulier.hellio.com/guide-solaire/aides/prix-panneau-solaire/gratuit,744,4,aide panneau solaire,3700,85,124781,yes
hellio,73.0,https://faq.hellio.com/interdiction-location-logements-g,727,1,dpe g location,400,85,5688,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/maprimerenov-2025,689,5,ma prime rénov 2025,4100,10,89411,yes
hellio,73.0,https://particulier.hellio.com/blog/actualites/interdiction-chaudieres-fioul,684,5,chaudiere fioul,2300,67,25574,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/simulation-cheque-energie,611,8,chèque énergie 2025 simulation,5000,26,18666,yes
hellio,73.0,https://faq.hellio.com/location-logement-classe-d,605,5,dpe d,2100,72,8004,yes
hellio,73.0,https://copropriete.hellio.com/blog/vie-copro/tantiemes,549,3,tantième,1700,52,2328,no
hellio,73.0,https://particulier.hellio.com/blog/conseils/reduire-empreinte-carbone,506,1,réduction empreinte carbone,250,46,20261,no
hellio,73.0,https://copropriete.hellio.com/blog/conseils/dpe-collectif,493,3,dpe collectif,900,40,23079,yes
hellio,73.0,https://copropriete.hellio.com/blog/renovation-energetique/relamping,472,1,relamping,1600,8,16123,yes
hellio,73.0,https://particulier.hellio.com/blog/financement/maprimerenov-2026,470,9,ma prime renov 2026,12000,3,56130,yes
