"﻿""PR""",URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
50,https://servicesartisans.fr/guides/maprimerenov-2026,"MaPrimeRénov 2026 : Montants, Conditions et Guide | ServicesArtisans",text/html; charset=utf-8,false,200,4,0,"Guide complet MaPrimeRénov 2026 : montants jusqu'à 70 000 €, conditions d'éligibilité, barèmes de revenus, parcours accompagné et par geste. Tout pour obtenir votre aide à la rénovation énergétique.",198,1,true
28,https://servicesartisans.fr/questions/prix-pose-carrelage-m2,Quel est le prix de la pose de carrelage au m² ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,1,0,"La pose de carrelage coûte entre 30 et 70 € par m² pour la main-d'œuvre seule, hors fourniture. Le carrelage varie de 15 à 100 €/m². Au total, comptez 50 à 150 €/m² pose et fourniture comprises.",194,1,true
20,https://servicesartisans.fr/questions/peindre-soi-meme-conseils,Comment bien peindre soi-même un mur ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Préparez le support (lessivage, ponçage, rebouchage), protégez le sol et les meubles, appliquez une sous-couche puis 2 couches de peinture au rouleau. Peignez en croisant les passes et en lissant de haut en bas.",211,1,true
20,https://servicesartisans.fr/questions/prix-cuisine-equipee-pose,Quel budget pour une cuisine équipée avec pose ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Une cuisine équipée avec pose coûte entre 5 000 et 12 000 € en entrée de gamme, 12 000 à 25 000 € en milieu de gamme et 25 000 à 50 000 € en haut de gamme. La pose représente 15 à 25 % du budget total.",201,1,true
20,https://servicesartisans.fr/questions/deboucher-canalisation-astuces,Comment déboucher une canalisation naturellement ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Versez 6 cuillères à soupe de bicarbonate de soude et 25 cl de vinaigre blanc dans la canalisation, laissez agir 30 minutes puis rincez à l'eau bouillante. En cas de bouchon tenace, utilisez une ventouse ou un furet manuel.",223,1,true
20,https://servicesartisans.fr/questions/prix-peinture-appartement,Quel est le prix pour peindre un appartement ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Peindre un appartement coûte en moyenne 20 à 40 € par m² de surface murale (murs + plafonds). Pour un appartement de 60 m² au sol, comptez 3 000 à 6 000 € tout compris avec un peintre professionnel.",198,1,true
20,https://servicesartisans.fr/glossaire,Glossaire du bâtiment — 150+ termes expliqués simplement | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Glossaire complet du bâtiment et de la rénovation : 150+ termes techniques expliqués simplement pour les particuliers. Gros œuvre, plomberie, électricité, isolation, menuiserie et plus.",185,1,true
20,https://servicesartisans.fr/questions/prix-renovation-maison-m2,Quel est le prix de rénovation d'une maison au m² ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Le prix de rénovation d'une maison varie de 250 à 600 €/m² pour un rafraîchissement, 600 à 1 200 €/m² pour une rénovation complète et 1 200 à 2 000 €/m² pour une rénovation lourde avec restructuration.",201,1,true
20,https://servicesartisans.fr/guides/permis-construire,Permis de Construire : Quand est-il Obligatoire ? | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"Guide complet permis de construire 2026 : quand est-il obligatoire (>20m², >40m² en zone PLU), documents requis, délais, coûts et cas spéciaux. Toutes les informations pour vos travaux.",185,1,true
20,https://servicesartisans.fr/questions/recours-malfacon-artisan,Quel recours en cas de malfaçon par un artisan ? | ServicesArtisans | ServicesArtisans,text/html; charset=utf-8,false,200,0,0,"En cas de malfaçon, envoyez une mise en demeure par LRAR à l'artisan, puis saisissez son assurance décennale. Si le litige persiste, vous pouvez recourir à la médiation de la consommation (gratuite) ou saisir le tribunal judiciaire. Le délai de prescription est de 10 ans pour les désordres décennaux.",301,1,true
