rank,keyword,volume,kd,cpc,bestRank,nCompetitors,attackScore,cluster,recommendedRoute,recommendedFile,topCompetitor,topCompetitorUrl,allCompetitors
1,seche linge pompe a chaleur,17000,1,21,2,1,17000.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,hellio,https://particulier.hellio.com/blog/conseils/seche-linge-pompe-chaleur-condensation,hellio#2
2,isolation mur intérieur,7800,1,25,5,2,15600.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-interieurs-appartement,france_renov#5|sonergia#10
3,isolation exterieur,14000,2,187,1,2,14000.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-maison,france_renov#1|effy#3
4,pompe à chaleur prix,4700,1,94,9,2,9400.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,sonergia,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-air-eau-quel-budget-moyen-prevoir/,sonergia#9|effy#10
5,chauffe eau,39000,5,15,10,1,7800.0,chauffe-eau,/cee/bar-th-148,src/app/(public)/cee/[operation]/page.tsx,effy,https://www.effy.fr/travaux-energetique/chauffe-eau/chauffe-eau-electrique,effy#10
6,vmc simple flux,15000,2,4,2,1,7500.0,ventilation,/cee/bar-th-127,src/app/(public)/cee/[operation]/page.tsx,effy,https://www.effy.fr/travaux-energetique/ventilation/vmc-consommation,effy#2
7,installation pompe a chaleur,3300,1,32,2,2,6600.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/installation,effy#2|france_renov#5
8,dpe d,2100,1,6,3,3,6300.0,audit-energetique,/renovation-energetique,src/app/(public)/renovation-energetique/page.tsx,effy,https://www.effy.fr/renovation-energetique/dpe-d-classe-energetique-la-plus-repandue,effy#3|hellio#5|sonergia#9
9,pompe a chaleur,56000,13,153,1,1,4307.7,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/chauffage/pompe-chaleur-maison,france_renov#1
10,chauffage,20000,10,46,3,2,4000.0,chauffage,/services/chauffagiste,src/app/(public)/services/[service]/page.tsx,selectra,https://selectra.info/energie/actualites/marche/fin-publicite-chauffage-gaz-traditionnel,selectra#3|france_renov#10
11,panneau solaire camping car,3500,1,14,7,1,3500.0,solaire,/services/panneaux-solaires,src/app/(public)/services/[service]/page.tsx,selectra,https://selectra.info/energie/solaire/camping-car,selectra#7
12,isolation phonique mur,3500,0,9,2,1,3500.0,isolation-phonique,,,sonergia,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-isoler-phoniquement-un-mur-entre-voisins/,sonergia#2
13,chauffe eau thermodynamique,31000,9,16,3,1,3444.4,chauffe-eau,/cee/bar-th-148,src/app/(public)/cee/[operation]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/chauffage/chauffe-eau-thermodynamique-maison,france_renov#3
14,consommation pompe a chaleur,3300,1,5,2,1,3300.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/consommation-electrique,effy#2
15,peinture isolante thermique,3100,0,6,7,1,3100.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/isolation/peinture/isolante,effy#7
16,dpe f,1500,0,2,3,2,3000.0,audit-energetique,/renovation-energetique,src/app/(public)/renovation-energetique/page.tsx,effy,https://www.effy.fr/renovation-energetique/tout-connaitre-sur-le-dpe-f,effy#3|hellio#4
17,ballon thermodynamique,18000,6,31,4,1,3000.0,chauffe-eau,/cee/bar-th-148,src/app/(public)/cee/[operation]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/chauffage/chauffe-eau-thermodynamique-maison,france_renov#4
18,installation pompe à chaleur,3000,1,22,7,1,3000.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/chauffage/pompe-chaleur-maison,france_renov#7
19,prise renforcée voiture électrique,2900,1,21,6,1,2900.0,irve,,,hellio,https://particulier.hellio.com/blog/conseils/prise-renforcee-voiture-electrique,hellio#6
20,entretien pompe a chaleur,5600,2,119,3,1,2800.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/magazine/focus-entretien-pompe-a-chaleur,effy#3
21,peinture isolante,2800,0,5,10,1,2800.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/isolation/peinture/isolante,effy#10
22,isolation par l'extérieur,13000,5,178,1,1,2600.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-maison,france_renov#1
23,entreprise de rénovation,2600,1,26,9,1,2600.0,travaux,,,france_renov,https://france-renov.gouv.fr/annuaires-professionnels/artisan-rge-architecte,france_renov#9
24,isolation comble perdu,1200,1,107,4,2,2400.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/combles-perdus,france_renov#4|effy#7
25,isolation intérieure,1200,1,68,4,2,2400.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-interieurs-appartement,france_renov#4|hellio#10
26,chaudiere fioul,2300,0,45,5,1,2300.0,chauffage,/services/chauffagiste,src/app/(public)/services/[service]/page.tsx,hellio,https://particulier.hellio.com/blog/actualites/interdiction-chaudieres-fioul,hellio#5
27,isolant polyuréthane,2300,0,24,9,1,2300.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,sonergia,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/le-polyurethane-lisolation-mince-par-excellence/,sonergia#9
28,isolant phonique mur,2300,0,9,9,1,2300.0,isolation-phonique,,,sonergia,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-isoler-phoniquement-un-mur-entre-voisins/,sonergia#9
29,dpe c,1100,0,4,3,2,2200.0,audit-energetique,/renovation-energetique,src/app/(public)/renovation-energetique/page.tsx,effy,https://www.effy.fr/renovation-energetique/dpe-c-diagnostic-performance-energetique-classe-c,effy#3|hellio#6
30,chauffage d'appoint économique,2200,0,8,6,1,2200.0,chauffage,/services/chauffagiste,src/app/(public)/services/[service]/page.tsx,hellio,https://particulier.hellio.com/blog/conseils/chauffage-appoint-economique,hellio#6
31,panneau solaire 1000w,2100,1,58,2,1,2100.0,solaire,/services/panneaux-solaires,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/solaire/panneau-solaire/alimentation-1000w,effy#2
32,chauffe eau solaire,12000,6,64,3,1,2000.0,chauffe-eau,/cee/bar-th-148,src/app/(public)/cee/[operation]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/chauffage/chauffe-eau-solaire,france_renov#3
33,isolation,7900,4,95,3,1,1975.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-maison,france_renov#3
34,isolation exterieur maison,3700,4,189,1,2,1850.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-maison,france_renov#1|effy#6
35,pompe a chaleur air eau,11000,12,143,5,2,1833.3,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,sonergia,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-air-eau-quel-budget-moyen-prevoir/,sonergia#5|france_renov#7
36,installation vmc,1800,0,41,1,1,1800.0,ventilation,/cee/bar-th-127,src/app/(public)/cee/[operation]/page.tsx,effy,https://www.effy.fr/travaux-energetique/ventilation/vmc-comment-l-installer,effy#1
37,meilleur poele,1800,0,18,8,1,1800.0,poele,/cee/bar-th-112,src/app/(public)/cee/[operation]/page.tsx,effy,https://www.effy.fr/travaux-energetique/chauffage/poele/poele-bois/meilleur,effy#8
38,entretien pompe à chaleur,900,1,82,6,2,1800.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/magazine/focus-entretien-pompe-a-chaleur,effy#6|sonergia#8
39,isolation interieur,3600,4,68,4,2,1800.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/murs-interieurs-appartement,france_renov#4|sonergia#9
40,isolation plafond garage,1800,0,16,8,1,1800.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,france_renov,https://france-renov.gouv.fr/renovation/isolation/sous-sol-garage,france_renov#8
41,panneau solaire plug and play,14000,8,52,9,1,1750.0,solaire,/services/panneaux-solaires,src/app/(public)/services/[service]/page.tsx,hellio,https://particulier.hellio.com/guide-solaire/types/panneau-plug-and-play,hellio#9
42,pompe a chaleur prix,1700,2,105,4,2,1700.0,pompe-a-chaleur,/services/pompe-a-chaleur,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/chauffage/pompe-a-chaleur/prix-pac-air-eau,effy#4|sonergia#9
43,isolant sol,1700,0,19,7,1,1700.0,isolation,/services/isolation-thermique,src/app/(public)/services/[service]/page.tsx,effy,https://www.effy.fr/travaux-energetique/isolation/isolation-sol/prix,effy#7
